Module                               Driver                   Alt. Name                Service Key
intelppm.sys                         intelppm                 intelppm                 \Driver\intelppm
CompositeBus.sys                     CompositeBus             CompositeBus             \Driver\CompositeBus
AgileVpn.sys                         RasAgileVpn              RasAgileVpn              \Driver\RasAgileVpn
Null.SYS                             Null                     Null                     \Driver\Null
cdrom.sys                            cdrom                    cdrom                    \Driver\cdrom
vmrawdsk.sys                         vmrawdsk                 vmrawdsk                 \Driver\vmrawdsk
Beep.SYS                             Beep                     Beep                     \Driver\Beep
RDPCDD.sys                           RDPCDD                   RDPCDD                   \Driver\RDPCDD
vga.sys                              VgaSave                  VgaSave                  \Driver\VgaSave
rdpencdd.sys                         RDPENCDD                 RDPENCDD                 \Driver\RDPENCDD
Msfs.SYS                             Msfs                     Msfs                     \FileSystem\Msfs
rdprefmp.sys                         RDPREFMP                 RDPREFMP                 \Driver\RDPREFMP
tdx.sys                              tdx                      tdx                      \Driver\tdx
Npfs.SYS                             Npfs                     Npfs                     \FileSystem\Npfs
afd.sys                              AFD                      AFD                      \Driver\AFD
netbt.sys                            NetBT                    NetBT                    \Driver\NetBT
pacer.sys                            Psched                   Psched                   \Driver\Psched
wfplwf.sys                           WfpLwf                   WfpLwf                   \Driver\WfpLwf
ws2ifsl.sys                          ws2ifsl                  ws2ifsl                  \Driver\ws2ifsl
npcap.sys                            npcap                    npcap                    \Driver\npcap
netbios.sys                          NetBIOS                  NetBIOS                  \FileSystem\NetBIOS
wanarp.sys                           Wanarpv6                 Wanarpv6                 \Driver\Wanarpv6
serial.sys                           Serial                   Serial                   \Driver\Serial
termdd.sys                           TermDD                   TermDD                   \Driver\TermDD
rdbss.sys                            rdbss                    rdbss                    \FileSystem\rdbss
nsiproxy.sys                         nsiproxy                 nsiproxy                 \Driver\nsiproxy
mssmbios.sys                         mssmbios                 mssmbios                 \Driver\mssmbios
dfsc.sys                             DfsC                     DfsC                     \FileSystem\DfsC
discache.sys                         discache                 discache                 \Driver\discache
blbdrive.sys                         blbdrive                 blbdrive                 \Driver\blbdrive
tunnel.sys                           tunnel                   tunnel                   \Driver\tunnel
kbdclass.sys                         kbdclass                 kbdclass                 \Driver\kbdclass
i8042prt.sys                         i8042prt                 i8042prt                 \Driver\i8042prt
mouclass.sys                         mouclass                 mouclass                 \Driver\mouclass
vmmouse.sys                          vmmouse                  vmmouse                  \Driver\vmmouse
vm3dmp_loader.sys                    vm3dmp_loader            vm3dmp_loader            \Driver\vm3dmp_loader
serenum.sys                          Serenum                  Serenum                  \Driver\Serenum
dxgkrnl.sys                          DXGKrnl                  DXGKrnl                  \Driver\DXGKrnl
rasl2tp.sys                          Rasl2tp                  Rasl2tp                  \Driver\Rasl2tp
E1G6032E.sys                         E1G60                    E1G60                    \Driver\E1G60
mountmgr.sys                         mountmgr                 mountmgr                 \Driver\mountmgr
cng.sys                              CNG                      CNG                      \Driver\CNG
ksecdd.sys                           KSecDD                   KSecDD                   \Driver\KSecDD
Ntfs.sys                             Ntfs                     Ntfs                     \FileSystem\Ntfs
CLFS.SYS                             CLFS                     CLFS                     \Driver\CLFS
amdxata.sys                          amdxata                  amdxata                  \Driver\amdxata
tcpip.sys                            Tcpip                    Tcpip                    \Driver\Tcpip
ksecpkg.sys                          KSecPkg                  KSecPkg                  \Driver\KSecPkg
BTHUSB.sys                           BTHUSB                   BTHUSB                   \Driver\BTHUSB
Fs_Rec.sys                           Fs_Rec                   Fs_Rec                   \FileSystem\Fs_Rec
pcw.sys                              pcw                      pcw                      \Driver\pcw
ndis.sys                             NDIS                     NDIS                     \Driver\NDIS
rdyboost.sys                         rdyboost                 rdyboost                 \Driver\rdyboost
fvevol.sys                           fvevol                   fvevol                   \Driver\fvevol
volsnap.sys                          volsnap                  volsnap                  \Driver\volsnap
disk.sys                             Disk                     Disk                     \Driver\Disk
hwpolicy.sys                         hwpolicy                 hwpolicy                 \Driver\hwpolicy
spldr.sys                            spldr                    spldr                    \Driver\spldr
mup.sys                              Mup                      Mup                      \FileSystem\Mup
msisadrv.sys                         msisadrv                 msisadrv                 \Driver\msisadrv
pci.sys                              pci                      pci                      \Driver\pci
partmgr.sys                          partmgr                  partmgr                  \Driver\partmgr
compbatt.sys                         Compbatt                 Compbatt                 \Driver\Compbatt
volmgr.sys                           volmgr                   volmgr                   \Driver\volmgr
volmgrx.sys                          volmgrx                  volmgrx                  \Driver\volmgrx
intelide.sys                         intelide                 intelide                 \Driver\intelide
vmci.sys                             vmci                     vmci                     \Driver\vmci
vsock.sys                            vsock                    vsock                    \Driver\vsock
atapi.sys                            atapi                    atapi                    \Driver\atapi
lsi_sas.sys                          LSI_SAS                  LSI_SAS                  \Driver\LSI_SAS
msahci.sys                           msahci                   msahci                   \Driver\msahci
ntoskrnl.exe                         PnpManager               \Driver\PnpManager       \Driver\PnpManager
BthEnum.sys                          BthEnum                  BthEnum                  \Driver\BthEnum
hal.dll                              ACPI_HAL                 \Driver\ACPI_HAL         \Driver\ACPI_HAL
ntoskrnl.exe                         WMIxWDM                  \Driver\WMIxWDM          \Driver\WMIxWDM
monitor.sys                          monitor                  monitor                  \Driver\monitor
vdrvroot.sys                         vdrvroot                 vdrvroot                 \Driver\vdrvroot
Wdf01000.sys                         Wdf01000                 Wdf01000                 \Driver\Wdf01000
UNKNOWN                              RAW                                               \FileSystem\RAW
win32k.sys                           Win32k                   \Driver\Win32k           \Driver\Win32k
ACPI.sys                             ACPI                     ACPI                     \Driver\ACPI
